




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
DNA strand elongation involved in DNA replication (GO:0006271)	15	14	5.96	+	2.35	2.29E-05	3.43E-04
protein localization to condensed chromosome (GO:1903083)	13	12	5.17	+	2.32	1.27E-04	1.60E-03
protein localization to kinetochore (GO:0034501)	13	12	5.17	+	2.32	1.27E-04	1.60E-03
mitotic DNA replication (GO:1902969)	13	12	5.17	+	2.32	1.27E-04	1.60E-03
protein localization to chromosome, centromeric region (GO:0071459)	25	23	9.93	+	2.32	6.83E-08	1.63E-06
detection of cell density (GO:0060245)	12	11	4.77	+	2.31	2.96E-04	3.41E-03
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)	12	11	4.77	+	2.31	2.96E-04	3.40E-03
ubiquitin recycling (GO:0010992)	12	11	4.77	+	2.31	2.96E-04	3.40E-03
negative regulation of PERK-mediated unfolded protein response (GO:1903898)	12	11	4.77	+	2.31	2.96E-04	3.40E-03
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	23	21	9.14	+	2.30	3.68E-07	7.84E-06
trachea morphogenesis (GO:0060439)	11	10	4.37	+	2.29	6.87E-04	6.91E-03
contact inhibition (GO:0060242)	11	10	4.37	+	2.29	6.87E-04	6.91E-03
cellular response to sterol depletion (GO:0071501)	11	10	4.37	+	2.29	6.87E-04	6.90E-03
endothelial cell chemotaxis (GO:0035767)	11	10	4.37	+	2.29	6.87E-04	6.90E-03
negative regulation of transcription by RNA polymerase I (GO:0016479)	11	10	4.37	+	2.29	6.87E-04	6.89E-03
endothelial tube morphogenesis (GO:0061154)	11	10	4.37	+	2.29	6.87E-04	6.89E-03
morphogenesis of an endothelium (GO:0003159)	11	10	4.37	+	2.29	6.87E-04	6.88E-03
negative regulation of erythrocyte differentiation (GO:0045647)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
SREBP signaling pathway (GO:0032933)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
positive regulation of natural killer cell differentiation (GO:0032825)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
IRE1-mediated unfolded protein response (GO:0036498)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
regulation of translational initiation in response to stress (GO:0043558)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
regulation of ubiquitin protein ligase activity (GO:1904666)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
membranous septum morphogenesis (GO:0003149)	10	9	3.97	+	2.27	1.58E-03	1.41E-02
DNA replication initiation (GO:0006270)	29	26	11.52	+	2.26	3.19E-08	7.97E-07
regulation of maintenance of mitotic sister chromatid cohesion (GO:0034182)	9	8	3.58	+	2.24	3.61E-03	2.89E-02
negative regulation of osteoblast proliferation (GO:0033689)	9	8	3.58	+	2.24	3.61E-03	2.89E-02
regulation of maintenance of sister chromatid cohesion (GO:0034091)	9	8	3.58	+	2.24	3.61E-03	2.89E-02
glutamine transport (GO:0006868)	9	8	3.58	+	2.24	3.61E-03	2.89E-02
positive regulation of early endosome to late endosome transport (GO:2000643)	9	8	3.58	+	2.24	3.61E-03	2.88E-02
glomerulus morphogenesis (GO:0072102)	9	8	3.58	+	2.24	3.61E-03	2.88E-02
negative regulation of stress-activated MAPK cascade (GO:0032873)	9	8	3.58	+	2.24	3.61E-03	2.88E-02
cardiac muscle cell proliferation (GO:0060038)	18	16	7.15	+	2.24	2.30E-05	3.43E-04
response to oxygen-glucose deprivation (GO:0090649)	9	8	3.58	+	2.24	3.61E-03	2.88E-02
meiotic cytokinesis (GO:0033206)	9	8	3.58	+	2.24	3.61E-03	2.88E-02
regulation of nuclear receptor-mediated glucocorticoid signaling pathway (GO:2000322)	9	8	3.58	+	2.24	3.61E-03	2.88E-02
negative regulation of vascular associated smooth muscle cell migration (GO:1904753)	9	8	3.58	+	2.24	3.61E-03	2.87E-02
hepatocyte growth factor receptor signaling pathway (GO:0048012)	9	8	3.58	+	2.24	3.61E-03	2.87E-02
regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904393)	9	8	3.58	+	2.24	3.61E-03	2.87E-02
